species,atpA,atpB,matK,rbcL,rps4,rps4-trnS,trnL-trnF,plastome,join_by,specimen_voucher,publication,outgroup
Dryopteris_kinkiensis,NA,NA,NA,KC896548,NA,NA,KC896582,NA,voucher,snu99357sjlee060653,NA,FALSE
Dryopteris_kinokuniensis,NA,NA,NA,AB575145,NA,NA,NA,NA,unjoined,tns766432,Molecular species identification with rich floristic sampling: DNA,FALSE
Dryopteris_knoblochii,NA,NA,NA,JN189522,NA,JN189196,JN189091,NA,voucher,nydevender981566,NA,FALSE
Dryopteris_koidzumiana,NA,NA,NA,AB575146,NA,NA,NA,NA,unjoined,tns763047,Molecular species identification with rich floristic sampling: DNA,FALSE
Dryopteris_komarovii,NA,NA,NA,JN189550,NA,JN189224,JN189119,NA,voucher,ucusacawundisch9445319,NA,FALSE
Dryopteris_labordei,NA,EF450493,NA,EF463128,NA,NA,NA,NA,voucher,hmliua360,NA,FALSE
Dryopteris_lacera,NA,NA,NA,JN189585,NA,JN189259,JN189151,NA,voucher,colomoran,NA,FALSE
Dryopteris_lachoongensis,NA,NA,NA,NA,NA,DQ191852,NA,NA,unjoined,NA,NA,FALSE
Dryopteris_lepidopoda,NA,NA,NA,AY587117,NA,DQ191853,NA,NA,voucher,sgluc65,NA,FALSE
Dryopteris_lepidorachis,NA,NA,NA,NA,NA,DQ191854,NA,NA,unjoined,NA,NA,FALSE
Dryopteris_lewalleana,NA,NA,NA,KY073648,NA,KY073670,NA,NA,voucher,mbg5031499,NA,FALSE
Dryopteris_liangkwangensis,NA,NA,NA,NA,NA,DQ191855,NA,NA,unjoined,NA,NA,FALSE
Dryopteris_liboensis,NA,NA,NA,LC371382,NA,NA,NA,NA,unjoined,NA,Hybridization of the Dryopteris erythrosora complex,FALSE
Dryopteris_ludoviciana,NA,NA,JQ941628,JQ935277,NA,JQ936815,JN105313,NA,voucher,ebslud3,NA,FALSE
Dryopteris_lunanensis,NA,NA,NA,AB575150,NA,NA,NA,NA,unjoined,tns763899,Molecular species identification with rich floristic sampling: DNA,FALSE
Dryopteris_macrolepidota,NA,NA,NA,KY099799,NA,NA,NA,NA,unjoined,nitta655,Life cycle matters: DNA barcoding reveals contrasting community,FALSE
Dryopteris_macropholis,NA,NA,NA,MT216025,NA,NA,NA,NA,unjoined,ptbgwood17701,The Evolution of Overrepresentation: exploring the biogeography of,FALSE
Dryopteris_manipurensis,NA,NA,KU500264,NA,NA,NA,KU500187,NA,voucher,liu9544,NA,FALSE
Dryopteris_manniana,NA,NA,NA,KY073650,NA,KY073672,KY073708,NA,voucher,stockholm,NA,FALSE
Dryopteris_marginalis,EF463677,EF463393,NA,EF463181,NA,NA,NA,NA,voucher,schuettpelz334,NA,FALSE
Dryopteris_marginata,NA,NA,NA,NA,NA,DQ191857,NA,NA,unjoined,NA,NA,FALSE
Dryopteris_mauiensis,NA,NA,NA,AY268833,NA,NA,AY268770,NA,monophy,NA,NA,FALSE
Dryopteris_maximowicziana,NA,NA,NA,EF540719,NA,NA,NA,NA,unjoined,hmliubj005,Polyphyly of the fern family Tectariaceae sensu Ching: insights,FALSE
Dryopteris_maximowiczii,NA,EF540727,NA,EF540721,NA,NA,NA,NA,voucher,hmliubj004,NA,FALSE
Dryopteris_maxonii,NA,NA,NA,JN189529,NA,JN189203,JN189098,NA,voucher,dukerothfels3197,NA,FALSE
Dryopteris_melanocarpa,NA,NA,NA,AB575153,NA,NA,NA,NA,unjoined,tns766410,Molecular species identification with rich floristic sampling: DNA,FALSE
Dryopteris_mindshelkensis,NA,NA,NA,AF240653,NA,NA,AF240671,NA,publication,NA,phylogeny and biosystematic relationships of four subgenera in,FALSE
Dryopteris_monticola,NA,NA,NA,KC896540,NA,NA,KC896574,NA,voucher,snu99359sjlee1062,NA,FALSE
Dryopteris_munchii,NA,NA,NA,JN189535,NA,JN189209,JN189104,NA,voucher,wisebs54,NA,FALSE
Dryopteris_namegatae,NA,NA,NA,AB575155,NA,NA,NA,NA,unjoined,tns766467,Molecular species identification with rich floristic sampling: DNA,FALSE
Dryopteris_napoleonis,NA,NA,NA,NA,NA,KY073673,NA,NA,unjoined,NA,NA,FALSE
Dryopteris_nidus,NA,KJ196494,KJ196610,KJ196813,NA,NA,KJ196687,NA,voucher,sydong3748,NA,FALSE
Dryopteris_nodosa,NA,EF450509,NA,EF463106,NA,NA,NA,NA,voucher,hmliuyn274,NA,FALSE
Dryopteris_nubigena,NA,NA,NA,JN189501,NA,NA,JN189070,NA,voucher,nysundue1363,NA,FALSE
Dryopteris_occidentalis,NA,NA,NA,KY073651,NA,KY073674,KY073709,NA,voucher,helsinki1566829,NA,FALSE
Dryopteris_odontoloma,NA,NA,NA,JN189590,NA,JN189265,JN189157,NA,voucher,afsse,NA,FALSE
Dryopteris_oligodonta,NA,NA,NA,JN189574,NA,JN189247,JN189138,NA,voucher,pfrahennequin2010c11,NA,FALSE
Dryopteris_oreades,NA,NA,NA,AY268850,NA,NA,NA,NA,unjoined,NA,Molecular phylogenetics and historical biogeography of Hawaiian,FALSE
Dryopteris_pacifica,NA,NA,NA,JN189594,NA,JN189269,JN189161,NA,voucher,afsse,NA,FALSE
Dryopteris_paleolata,KT831789,KT831822,NA,KT831862,NA,NA,NA,NA,voucher,yanyhms141,NA,FALSE
Dryopteris_pallida,NA,NA,JQ941649,JN189591,NA,JN189266,JN189158,NA,voucher,afsse,NA,FALSE
Dryopteris_panda,NA,NA,NA,JN189551,NA,JN189225,JN189120,NA,voucher,ucusacaunknown11514,NA,FALSE
Dryopteris_patula,NA,NA,NA,KJ464427,NA,KJ464668,KJ464598,NA,voucher,sundue1104,NA,FALSE
Dryopteris_peninsulae,NA,EF450494,NA,EF463129,NA,NA,NA,NA,voucher,xczhang2642,NA,FALSE
Dryopteris_pentheri,NA,NA,NA,JN189576,NA,JN189249,JN189140,NA,voucher,bmgbrlondonhennequin2009r2,NA,FALSE
Dryopteris_peranema,NA,NA,NA,NA,NA,NA,NA,MT130581,NA,NA,NA,FALSE
Dryopteris_podophylla,NA,NA,NA,LC496706,NA,NA,NA,NA,unjoined,hitbcmeg18y136,Resolving the Enigma of Fern Genome Evolution: from Genomic,FALSE
Dryopteris_polita,NA,KJ196503,KJ196593,KJ196824,NA,NA,KJ196700,NA,voucher,sydong718,NA,FALSE
Dryopteris_polylepis,NA,NA,NA,JN189589,NA,JN189263,JN189155,NA,voucher,colomoran,NA,FALSE
Dryopteris_protobissetiana,NA,NA,NA,AB575157,NA,NA,NA,NA,unjoined,tns763312,Molecular species identification with rich floristic sampling: DNA,FALSE
Dryopteris_pseudocaenopteris,KT831790,KT831823,NA,KT831864,NA,NA,NA,NA,voucher,weiqfb732,NA,FALSE
Dryopteris_pseudofilix-mas,NA,NA,NA,JN189523,NA,JN189197,JN189092,NA,voucher,nymontgomery04171,NA,FALSE
Dryopteris_pseudosparsa,NA,NA,NA,NA,NA,DQ191866,NA,NA,unjoined,NA,NA,FALSE
Dryopteris_pycnopteroides,NA,NA,NA,JN189584,NA,JN189258,JN189150,NA,voucher,colomoran,NA,FALSE
Dryopteris_raiateensis,NA,NA,NA,KY099744,NA,NA,NA,NA,unjoined,nitta3334,Life cycle matters: DNA barcoding reveals contrasting community,FALSE
Dryopteris_ramosa,NA,NA,NA,MF694706,NA,NA,NA,NA,unjoined,swat16c,DNA barcoding and phylogenetic analysis of indigenous medicinal,FALSE
Dryopteris_redactopinnata,NA,NA,NA,MF786528,NA,NA,NA,NA,unjoined,us3540830,DNA barcodes from Tibetan plant genera,FALSE
Dryopteris_reflexosquamata,NA,NA,NA,JN189604,NA,DQ191870,JN189171,NA,monophy,NA,NA,FALSE
Dryopteris_remota,NA,NA,NA,JQ935253,NA,JQ936826,JQ682983,NA,voucher,moran,NA,FALSE
Dryopteris_rossii,NA,NA,NA,JN189531,NA,JN189205,JN189100,NA,voucher,dukerothfels3182,NA,FALSE
Dryopteris_rosthornii,NA,NA,NA,JX535861,JX535839,JX535839,JX535941,NA,voucher,liangzhang1477,NA,FALSE
Dryopteris_rubiginosa,NA,NA,NA,AY268836,NA,NA,NA,NA,unjoined,NA,Molecular phylogenetics and historical biogeography of Hawaiian,FALSE
Dryopteris_rubrobrunnea,NA,NA,NA,NA,NA,NA,NA,MT130582,NA,NA,NA,FALSE
Dryopteris_ryo-itoana,NA,NA,NA,AB575161,NA,NA,NA,NA,unjoined,tns766494,Molecular species identification with rich floristic sampling: DNA,FALSE
Dryopteris_sabaei,NA,NA,NA,AB575162,NA,NA,NA,NA,unjoined,tns764337,Molecular species identification with rich floristic sampling: DNA,FALSE
Dryopteris_sacrosancta,NA,NA,NA,JN189592,NA,JN189267,JN189159,NA,voucher,afsse,NA,FALSE
Dryopteris_saffordii,NA,NA,NA,JN189525,NA,JN189199,JN189094,NA,voucher,nysagastegui15507,NA,FALSE
Dryopteris_salvinii,NA,NA,NA,JN189526,NA,JN189200,JN189095,NA,voucher,nyirwin34351,NA,FALSE
Dryopteris_sandwicensis,NA,NA,NA,MT657478,NA,NA,NA,NA,unjoined,krwood17157,Biogeography of Pacific pteridophytes in a global context,FALSE
Dryopteris_sarvelae,NA,NA,NA,NA,NA,NA,MK697585,NA,unjoined,NA,NA,FALSE
Dryopteris_saxifraga,NA,NA,NA,KC896563,NA,NA,KC896597,NA,voucher,snu99366sjlee031,NA,FALSE
Dryopteris_saxifragivaria,NA,NA,NA,KC896566,NA,NA,KC896600,NA,voucher,snu99369sjlee034,NA,FALSE
Dryopteris_schimperiana,NA,NA,NA,KY073655,NA,KY073675,NA,NA,voucher,mbg4392411,NA,FALSE
Dryopteris_schnellii,NA,NA,NA,KY073656,NA,NA,NA,NA,unjoined,berlin,Into Africa: Molecular phylogenetics and historical biogeography of,FALSE
Dryopteris_scottii,NA,NA,NA,DQ508775,NA,NA,DQ514498,NA,voucher,mmo03313,NA,FALSE
Dryopteris_setosa,NA,NA,NA,JN189587,NA,JN189261,JN189153,NA,voucher,colomoran,NA,FALSE
Dryopteris_shibipedis,NA,NA,NA,AB575166,NA,NA,NA,NA,unjoined,tns766463,Molecular species identification with rich floristic sampling: DNA,FALSE
Dryopteris_shikokiana,NA,NA,KU500252,AB575167,NA,NA,KU500175,NA,voucher,tns762596,NA,FALSE
Dryopteris_shiroumensis,NA,NA,NA,AB575168,NA,NA,NA,NA,unjoined,tns766466,Molecular species identification with rich floristic sampling: DNA,FALSE
Dryopteris_sieboldii,NA,NA,NA,NA,NA,NA,NA,MN623354,NA,NA,NA,FALSE
Dryopteris_simasakii,NA,NA,NA,AB575171,NA,NA,NA,NA,unjoined,tns766450,Molecular species identification with rich floristic sampling: DNA,FALSE
Dryopteris_sordidipes,NA,NA,NA,JN189605,NA,JN189280,JN189172,NA,voucher,coloranker2061,NA,FALSE
Dryopteris_sororia,NA,NA,NA,KC878849,NA,NA,KC878866,NA,voucher,debreedlove56215,NA,FALSE
Dryopteris_sparsa,NA,EF450497,NA,EF463131,NA,NA,NA,NA,voucher,hmliua338,NA,FALSE
Dryopteris_spinosa,NA,NA,NA,NA,NA,NA,JN189145,NA,unjoined,NA,NA,FALSE
Dryopteris_squamiseta,EF463678,EF463394,KU500254,EF463182,NA,NA,KU500177,NA,voucher,janssen2714,NA,FALSE
Dryopteris_stenolepis,NA,NA,NA,JN189553,NA,JN189227,JN189122,NA,voucher,ucusacaunknown99,NA,FALSE
Dryopteris_stewartii,NA,NA,NA,JN189586,NA,JN189260,JN189152,NA,voucher,colomoran,NA,FALSE
Dryopteris_subbipinnata,NA,NA,NA,JN189579,NA,JN189252,JN189143,NA,voucher,colooppenheimerh50074,NA,FALSE
Dryopteris_subcrenulata,NA,NA,NA,KY073658,NA,KY073677,NA,NA,voucher,mbg6444697,NA,FALSE
Dryopteris_subexaltata,NA,NA,NA,KC896546,NA,NA,KC896580,NA,voucher,snu99371sjlee1417,NA,FALSE
Dryopteris_sublacera,NA,NA,NA,DQ508778,NA,NA,DQ514501,NA,voucher,ljm080,NA,FALSE
Dryopteris_submarginata,NA,NA,NA,NA,NA,DQ191879,NA,NA,unjoined,NA,NA,FALSE
Dryopteris_subpycnopteroides,NA,NA,NA,AY587113,NA,DQ191880,NA,NA,voucher,sgluc58,NA,FALSE
Dryopteris_subreflexipinna,NA,NA,NA,NA,NA,EU797688,EU797678,NA,voucher,chang6317,NA,FALSE
Dryopteris_subtriangularis,NA,NA,NA,AY587110,NA,NA,NA,NA,unjoined,sglui27,Phylogenetic Analysis for genus Dryopteris (Dryopteridaceae) based,FALSE
Dryopteris_tenuicula,NA,NA,NA,AB575147,NA,NA,NA,NA,unjoined,tns763324,Molecular species identification with rich floristic sampling: DNA,FALSE
Dryopteris_tetrapinnata,NA,NA,NA,AY268838,NA,NA,NA,NA,unjoined,NA,Molecular phylogenetics and historical biogeography of Hawaiian,FALSE
Dryopteris_tokyoensis,NA,NA,NA,JN189578,NA,JN189251,JN189142,NA,voucher,colomoran,NA,FALSE
Dryopteris_transmorrisonensis,NA,NA,KU500272,NA,NA,NA,KU500195,NA,voucher,fwl945,NA,FALSE
Dryopteris_triangularis,NA,NA,NA,JN189600,NA,NA,JN189167,NA,voucher,bpsse,NA,FALSE
Dryopteris_tricellularis,NA,NA,NA,KY073659,NA,KY073678,KY073715,NA,voucher,helsinki1142548,NA,FALSE
Dryopteris_triploidea,KF186546,NA,NA,KF186513,NA,NA,NA,NA,voucher,oac96855,NA,FALSE
Dryopteris_tsoongii,NA,NA,NA,NA,NA,DQ191882,NA,NA,unjoined,NA,NA,FALSE
Dryopteris_tsugiwoi,NA,NA,NA,AB575175,NA,NA,NA,NA,unjoined,tns777859,Molecular species identification with rich floristic sampling: DNA,FALSE
Dryopteris_tsutsuiana,NA,NA,NA,AB575176,NA,NA,NA,NA,unjoined,tns743780,Molecular species identification with rich floristic sampling: DNA,FALSE
Dryopteris_tyrrhena,NA,NA,NA,KY073660,NA,KY073679,KY073716,NA,voucher,madridcomplutense42776,NA,FALSE
Dryopteris_unidentata,NA,NA,NA,AY268825,NA,NA,NA,NA,unjoined,NA,Molecular phylogenetics and historical biogeography of Hawaiian,FALSE
Dryopteris_uniformis,EF463679,EF463395,NA,EF463183,NA,NA,NA,NA,voucher,schuettpelz537,NA,FALSE
Dryopteris_varia,NA,NA,NA,AY736329,NA,NA,AY736355,NA,voucher,ljm180,NA,FALSE
Dryopteris_villarii,NA,NA,NA,KY073661,NA,KY073680,KY073717,NA,voucher,flasebs146,NA,FALSE
Dryopteris_wallichiana,NA,NA,NA,KJ464428,NA,KJ464669,KJ464599,NA,voucher,labiak4434,NA,FALSE
Dryopteris_wattsii,KP164481,KP164488,NA,KP164495,NA,NA,NA,NA,voucher,sankowsky4171,NA,FALSE
Dryopteris_wulingshanensis,NA,NA,NA,MZ444607,NA,NA,NA,NA,unjoined,NA,"Dryopteriswulingshanensis (Dryopteridaceae), a new species from",FALSE
Dryopteris_wuzhaohongii,NA,NA,KU500255,NA,NA,NA,KU500178,NA,voucher,lu28385,NA,FALSE
Dryopteris_xanthomelas,NA,NA,NA,AY587118,NA,DQ151857,DQ150394,NA,voucher,sgluc60,NA,FALSE
Dryopteris_zayuensis,NA,NA,NA,DQ508777,NA,NA,DQ514500,NA,voucher,ljm064,NA,FALSE
Elaphoglossum_achroalepis,NA,EF040636,NA,NA,NA,AY540225,AY536288,NA,voucher,rakotondrainibe6485,NA,FALSE
Elaphoglossum_acrostichoides,NA,NA,NA,AY818680,NA,NA,NA,NA,unjoined,NA,Molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_aemulum,NA,NA,NA,MT657681,NA,AY540227,AY536290,NA,monophy,NA,NA,FALSE
Elaphoglossum_affine,NA,NA,NA,AY534861,NA,AY536169,AY534841,NA,publication,NA,molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_albomarginatum,NA,MG600320,NA,NA,NA,MG600350,MG600378,NA,voucher,breedlove31629,NA,FALSE
Elaphoglossum_alpestre,NA,MG600302,NA,NA,NA,MG600331,MG600360,NA,voucher,matos2543,NA,FALSE
Elaphoglossum_alvaradoanum,NA,EF040651,NA,NA,NA,EF040625,EF040611,NA,voucher,trusty120,NA,FALSE
Elaphoglossum_amygdalifolium,EF463680,EF463396,NA,EF463184,NA,NA,NA,NA,voucher,moran6952,NA,FALSE
Elaphoglossum_andicola,EF463681,EF463397,NA,EF463185,NA,NA,NA,NA,voucher,bach1697,NA,FALSE
Elaphoglossum_andreanum,NA,KJ528046,NA,NA,NA,KJ528132,KJ528168,NA,voucher,lehnert1463,NA,FALSE
Elaphoglossum_angulatum,NA,NA,NA,KF992484,NA,NA,NA,NA,unjoined,shennequinr172,Evolutionary patterns in the assembly of fern diversity on the,FALSE
Elaphoglossum_anthracinum,NA,NA,NA,NA,NA,KJ528116,KJ528172,NA,voucher,luteyn11002,NA,FALSE
Elaphoglossum_apodum,NA,NA,NA,AY818681,NA,NA,NA,NA,unjoined,NA,Molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_asterolepis,NA,EF040642,NA,NA,NA,AY540231,AY536294,NA,voucher,kessler12751,NA,FALSE
Elaphoglossum_aubertii,EF463682,EF463398,NA,EF463186,NA,NA,NA,NA,voucher,hemp8,NA,FALSE
Elaphoglossum_auricomum,NA,NA,NA,AY818682,NA,AY536145,AY534817,NA,publication,NA,molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_auripilum,NA,NA,NA,AY534849,NA,NA,NA,NA,unjoined,NA,Molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_austromarquesense,NA,NA,NA,MT216028,NA,NA,NA,NA,unjoined,usschuettpelz1924,The Evolution of Overrepresentation: exploring the biogeography of,FALSE
Elaphoglossum_avaratraense,NA,NA,NA,NA,NA,AY540233,AY536296,NA,voucher,rakotondrainibe1456,NA,FALSE
Elaphoglossum_backhouseanum,EF463683,EF463399,NA,EF463187,NA,NA,NA,NA,voucher,moransn,NA,FALSE
Elaphoglossum_beaurepairei,NA,MG600304,NA,NA,NA,MG600333,MG600361,NA,voucher,matos2198,NA,FALSE
Elaphoglossum_bellermannianum,NA,KJ528040,NA,NA,NA,KJ528161,KJ528173,NA,voucher,vasco484,NA,FALSE
Elaphoglossum_bifurcatum,NA,NA,NA,NA,NA,NA,AY194070,NA,unjoined,NA,NA,FALSE
Elaphoglossum_biolleyi,NA,NA,NA,NA,NA,AY540235,AY536298,NA,voucher,boyle6397,NA,FALSE
Elaphoglossum_blepharis,NA,NA,NA,NA,NA,KJ528145,KJ528175,NA,voucher,harling22455,NA,FALSE
Elaphoglossum_boryanum,NA,NA,NA,AY534846,NA,AY536133,AY534804,NA,publication,NA,molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_brenesii,NA,NA,NA,MW138163,NA,NA,NA,NA,unjoined,jhnitta859,A taxonomic and molecular survey of the pteridophytes of the,FALSE
Elaphoglossum_brevipetiolatum,NA,NA,NA,NA,NA,MG600334,MG600362,NA,voucher,royer72,NA,FALSE
Elaphoglossum_bryogenes,NA,NA,NA,NA,NA,KJ528135,KJ528176,NA,voucher,luteyn14682,NA,FALSE
Elaphoglossum_burchellii,NA,NA,NA,AY818683,NA,NA,NA,NA,unjoined,NA,Molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_callifolium,NA,NA,NA,AB232400,NA,NA,NA,NA,unjoined,tsutsumiin44,Evolution of Epiphytes in Davalliaceae and Related Ferns,FALSE
Elaphoglossum_cardenasii,NA,NA,NA,AY818684,NA,AY536131,AY534802,NA,publication,NA,molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_cardiophyllum,NA,NA,NA,AY818685,NA,AY536171,AY534842,NA,publication,NA,molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_caricifolium,NA,NA,NA,AY818708,NA,AY536143,AY534814,NA,publication,NA,molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_carolinense,NA,NA,NA,MT657690,NA,NA,NA,NA,unjoined,dhlorence10146,Biogeography of Pacific pteridophytes in a global context,FALSE
Elaphoglossum_christianeae,NA,NA,NA,KJ628703,NA,NA,NA,NA,unjoined,NA,Phylogenetic relatedness within neotropical fern communities,FALSE
Elaphoglossum_ciliatum,NA,NA,NA,MW138220,NA,NA,NA,NA,unjoined,jhnitta783,A taxonomic and molecular survey of the pteridophytes of the,FALSE
Elaphoglossum_cismense,NA,MG600319,NA,NA,NA,MG600349,MG600377,NA,voucher,matos2144,NA,FALSE
Elaphoglossum_cocosense,NA,NA,NA,KM495087,NA,NA,NA,NA,unjoined,NA,A comparative analysis of island floras challenges taxonomy-based,FALSE
Elaphoglossum_concinnum,NA,NA,NA,NA,NA,KJ528151,KJ528179,NA,voucher,cotton1546a,NA,FALSE
Elaphoglossum_conforme,NA,MZ957367,NA,MZ957133,MZ957581,MZ957581,MZ957251,NA,voucher,kunwang5337,NA,FALSE
Elaphoglossum_conspersum,NA,NA,NA,NA,NA,AY540238,AY536301,NA,voucher,moran6343,NA,FALSE
Elaphoglossum_coriaceum,NA,EF040653,NA,NA,NA,EF040627,EF040613,NA,voucher,rouhan145,NA,FALSE
Elaphoglossum_costaricense,NA,NA,NA,AY818687,NA,AY536128,AY534799,NA,publication,NA,molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_coursii,NA,NA,NA,KF992525,NA,NA,NA,NA,unjoined,grouhan229,Evolutionary patterns in the assembly of fern diversity on the,FALSE
Elaphoglossum_craspedariiforme,NA,NA,NA,AY818688,NA,AY536158,AY534830,NA,publication,NA,molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_crassicaule,NA,NA,NA,MT657686,NA,NA,NA,NA,unjoined,krwood15380,Biogeography of Pacific pteridophytes in a global context,FALSE
Elaphoglossum_crassifolium,EF463685,EF463401,NA,EF463188,NA,NA,NA,NA,voucher,mickel9703,NA,FALSE
Elaphoglossum_crinitum,EF463686,EF463402,NA,EF463189,NA,NA,NA,NA,voucher,trusty70,NA,FALSE
Elaphoglossum_croatii,NA,NA,NA,NA,NA,AY540241,AY536304,NA,voucher,moran6378,NA,FALSE
Elaphoglossum_cubense,NA,KF212378,NA,NA,NA,KF212429,KF212404,NA,voucher,jl155,NA,FALSE
Elaphoglossum_curvans,NA,NA,NA,AY818700,NA,AY536152,AY534824,NA,publication,NA,molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_cuspidatum,NA,EU907675,NA,AY534856,NA,EU907750,EU907815,NA,monophy,NA,NA,FALSE
Elaphoglossum_davidsei,NA,NA,NA,NA,NA,AY540242,AY536305,NA,voucher,moran6366,NA,FALSE
Elaphoglossum_decaryanum,NA,EF040658,NA,NA,NA,AY540243,AY536306,NA,voucher,rakotondrainibe6326,NA,FALSE
Elaphoglossum_deckenii,NA,NA,NA,NA,NA,NA,AY194072,NA,unjoined,NA,NA,FALSE
Elaphoglossum_decoratum,NA,NA,NA,KJ464429,NA,KJ464670,KJ464600,NA,voucher,nybg39177b,NA,FALSE
Elaphoglossum_decursivum,NA,MG600322,NA,NA,NA,MG600352,MG600380,NA,voucher,matos2075,NA,FALSE
Elaphoglossum_delgadilloanum,NA,NA,NA,KM583470,NA,NA,NA,NA,unjoined,arojas7017,A comparative analysis of island floras challenges taxonomy-based,FALSE
Elaphoglossum_deltoideum,EF463687,EF463403,NA,EF463190,NA,NA,NA,NA,voucher,moran6867,NA,FALSE
Elaphoglossum_dendricola,NA,EU907676,NA,NA,NA,EU907751,EU907816,NA,voucher,moranrc6853herbariumnyqcaqcne,NA,FALSE
Elaphoglossum_dimorphum,NA,EU907678,NA,NA,NA,EU907753,EU907817,NA,voucher,eastwooda719herbarium,NA,FALSE
Elaphoglossum_discolor,NA,NA,NA,KJ628704,NA,NA,NA,NA,unjoined,NA,Phylogenetic relatedness within neotropical fern communities,FALSE
Elaphoglossum_doanense,NA,NA,NA,MW138165,NA,NA,NA,NA,unjoined,jhnitta857,A taxonomic and molecular survey of the pteridophytes of the,FALSE
Elaphoglossum_dussii,NA,EU907681,NA,NA,NA,EU907755,EU907819,NA,voucher,sanchezc138herbariumny,NA,FALSE
Elaphoglossum_edwallii,NA,NA,NA,AY818689,NA,AY536144,AY534816,NA,publication,NA,molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_eggersii,NA,KF212381,NA,NA,NA,KF212431,KF212406,NA,voucher,jl157,NA,FALSE
Elaphoglossum_engelii,NA,KJ528065,NA,NA,NA,KJ528162,KJ528183,NA,voucher,vasco591,NA,FALSE
Elaphoglossum_erinaceum,EF463688,EF463404,NA,EF463191,NA,NA,NA,NA,voucher,blanco2231,NA,FALSE
Elaphoglossum_eximium,NA,MG600327,NA,KM495092,NA,MG600356,MG600384,NA,monophy,NA,NA,FALSE
Elaphoglossum_feei,NA,KJ528072,NA,NA,NA,KJ528120,KJ528184,NA,voucher,christenhusz4171,NA,FALSE
Elaphoglossum_forsythii-majoris,NA,EF040644,NA,NA,NA,EF040620,EF040606,NA,monophy,NA,NA,FALSE
Elaphoglossum_fournierianum,NA,NA,NA,NA,NA,AY540248,AY536311,NA,voucher,moran6336,NA,FALSE
Elaphoglossum_furfuraceum,NA,NA,NA,NA,NA,AY540249,AY536312,NA,voucher,moran6367,NA,FALSE
Elaphoglossum_gayanum,NA,MG600318,NA,NA,NA,MG600348,MG600376,NA,voucher,matos2024,NA,FALSE
Elaphoglossum_glabellum,NA,NA,NA,AY818691,NA,NA,NA,NA,unjoined,NA,Molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_glaucum,NA,NA,NA,AY818692,NA,AY536172,AY534844,NA,publication,NA,molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_gomezianum,NA,NA,NA,KM495100,NA,NA,NA,NA,unjoined,arojas6467,A comparative analysis of island floras challenges taxonomy-based,FALSE
Elaphoglossum_gramineum,NA,EU907682,NA,NA,NA,EU907756,EU907820,NA,voucher,anderson3223herbariumus,NA,FALSE
Elaphoglossum_grayumii,NA,NA,NA,NA,NA,AY540250,AY536313,NA,voucher,moran6329,NA,FALSE
Elaphoglossum_guatemalense,NA,NA,NA,AY818693,NA,AY536164,AY534836,NA,publication,NA,molecular studies of representative species in the fern genus,FALSE
Elaphoglossum_guentheri,NA,KJ528048,NA,NA,NA,KJ528159,KJ528189,NA,monophy,NA,NA,FALSE
Elaphoglossum_heterochroum,NA,NA,NA,MW138228,NA,NA,NA,NA,unjoined,jhnitta773,A taxonomic and molecular survey of the pteridophytes of the,FALSE
Elaphoglossum_heterolepis,EF463691,EF463407,NA,EF463194,NA,NA,NA,NA,voucher,ranker1414,NA,FALSE
Elaphoglossum_hirtum,NA,NA,NA,NA,NA,NA,AY194071,NA,unjoined,NA,NA,FALSE
Elaphoglossum_hoffmannii,NA,KF212382,NA,NA,NA,KF212433,KF212408,NA,voucher,jl74,NA,FALSE
Elaphoglossum_hornei,NA,NA,NA,NA,NA,AY540253,AY536316,NA,voucher,rouhan156,NA,FALSE
Elaphoglossum_huacsaro,EF463692,EF463408,NA,EF463195,NA,NA,NA,NA,voucher,nee52309,NA,FALSE
Elaphoglossum_humbertii,NA,EU907696,NA,NA,NA,EU907771,EU907834,NA,voucher,rouhang466herbariump,NA,FALSE
Elaphoglossum_hybridum,EF463693,EF463409,NA,EF463196,NA,NA,NA,NA,voucher,motley2912,NA,FALSE
Elaphoglossum_ipshookense,NA,EU907698,NA,NA,NA,EU907773,EU907836,NA,voucher,mickelj4748herbariumny,NA,FALSE
Elaphoglossum_killipii,NA,NA,NA,NA,NA,AY540257,AY536320,NA,voucher,sundue581,NA,FALSE
Elaphoglossum_lalitae,NA,MG600317,NA,NA,NA,MG600347,MG600375,NA,voucher,matos2181,NA,FALSE
Elaphoglossum_lanatum,NA,NA,NA,NA,NA,AY540258,AY536321,NA,voucher,rouhan194,NA,FALSE
