species,seq_len_atpA,accession_atpA,seq_len_atpB,accession_atpB,seq_len_matK,accession_matK,seq_len_rbcL,accession_rbcL,seq_len_rps4,accession_rps4,seq_len_rps4-trnS,accession_rps4-trnS,seq_len_trnL-trnF,accession_trnL-trnF,total_seq_len,join_by,specimen_voucher,publication
Dryopteris_shibipedis,NA,NA,NA,NA,NA,NA,1205,AB575166,NA,NA,NA,NA,NA,NA,1205,unjoined,tns766463,Molecular species identification with rich floristic sampling: DNA
Dryopteris_shikokiana,0,NA,0,NA,1326,KU500252,1205,AB575167,0,NA,0,NA,841,KU500175,3372,voucher,tns762596,NA
Dryopteris_shiroumensis,NA,NA,NA,NA,NA,NA,1205,AB575168,NA,NA,NA,NA,NA,NA,1205,unjoined,tns766466,Molecular species identification with rich floristic sampling: DNA
Dryopteris_sieboldii,0,NA,1182,EF450498,0,NA,1244,EF463130,0,NA,0,NA,0,NA,2426,voucher,hmliua376,NA
Dryopteris_simasakii,NA,NA,NA,NA,NA,NA,1205,AB575171,NA,NA,NA,NA,NA,NA,1205,unjoined,tns766450,Molecular species identification with rich floristic sampling: DNA
Dryopteris_sordidipes,0,NA,0,NA,0,NA,1256,JN189605,0,NA,360,JN189280,241,JN189172,1857,voucher,coloranker2061,NA
Dryopteris_sororia,0,NA,0,NA,0,NA,1186,KC878849,0,NA,0,NA,270,KC878866,1456,voucher,debreedlove56215,NA
Dryopteris_sparsa,0,NA,1182,EF450497,0,NA,1258,EF463131,0,NA,0,NA,0,NA,2440,voucher,hmliua338,NA
Dryopteris_spinosa,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,234,JN189145,234,unjoined,NA,NA
Dryopteris_squamiseta,1506,EF463678,1278,EF463394,1326,KU500254,1308,EF463182,0,NA,0,NA,822,KU500177,6240,voucher,janssen2714,NA
Dryopteris_stenolepis,0,NA,0,NA,0,NA,1319,JN189553,0,NA,376,JN189227,242,JN189122,1937,voucher,ucusacaunknown99,NA
Dryopteris_stewartii,0,NA,0,NA,0,NA,1256,JN189586,0,NA,375,JN189260,242,JN189152,1873,voucher,colomoran,NA
Dryopteris_subbipinnata,0,NA,0,NA,0,NA,1256,JN189579,0,NA,375,JN189252,242,JN189143,1873,voucher,colooppenheimerh50074,NA
Dryopteris_subcrenulata,0,NA,0,NA,0,NA,1299,KY073658,0,NA,441,KY073677,0,NA,1740,voucher,mbg6444697,NA
Dryopteris_subexaltata,0,NA,0,NA,0,NA,1325,KC896546,0,NA,0,NA,274,KC896580,1599,voucher,snu99371sjlee1417,NA
Dryopteris_sublacera,0,NA,0,NA,0,NA,1320,DQ508778,0,NA,0,NA,878,DQ514501,2198,voucher,ljm080,NA
Dryopteris_submarginata,0,NA,0,NA,0,NA,NA,NA,0,NA,467,DQ191879,0,NA,467,unjoined,NA,NA
Dryopteris_subpycnopteroides,0,NA,0,NA,0,NA,1270,AY587113,0,NA,465,DQ191880,0,NA,1735,voucher,sgluc58,NA
Dryopteris_subreflexipinna,0,NA,0,NA,0,NA,0,NA,0,NA,351,EU797688,262,EU797678,613,voucher,chang6317,NA
Dryopteris_subtriangularis,NA,NA,NA,NA,NA,NA,1267,AY587110,NA,NA,NA,NA,NA,NA,1267,unjoined,sglui27,Phylogenetic Analysis for genus Dryopteris (Dryopteridaceae) based
Dryopteris_tenuicula,NA,NA,NA,NA,NA,NA,1205,AB575147,NA,NA,NA,NA,NA,NA,1205,unjoined,tns763324,Molecular species identification with rich floristic sampling: DNA
Dryopteris_tetrapinnata,NA,NA,NA,NA,NA,NA,1310,AY268838,NA,NA,NA,NA,NA,NA,1310,unjoined,NA,Molecular phylogenetics and historical biogeography of Hawaiian
Dryopteris_tokyoensis,0,NA,0,NA,0,NA,1256,JN189578,0,NA,389,JN189251,243,JN189142,1888,voucher,colomoran,NA
Dryopteris_transmorrisonensis,0,NA,0,NA,1261,KU500272,0,NA,0,NA,0,NA,846,KU500195,2107,voucher,fwl945,NA
Dryopteris_triangularis,0,NA,0,NA,0,NA,1254,JN189600,0,NA,0,NA,242,JN189167,1496,voucher,bpsse,NA
Dryopteris_tricellularis,0,NA,0,NA,0,NA,1319,KY073659,0,NA,439,KY073678,285,KY073715,2043,voucher,helsinki1142548,NA
Dryopteris_triploidea,1523,KF186546,0,NA,0,NA,1309,KF186513,0,NA,0,NA,0,NA,2832,voucher,oac96855,NA
Dryopteris_tsoongii,0,NA,0,NA,0,NA,NA,NA,0,NA,440,DQ191882,0,NA,440,unjoined,NA,NA
Dryopteris_tsugiwoi,NA,NA,NA,NA,NA,NA,1205,AB575175,NA,NA,NA,NA,NA,NA,1205,unjoined,tns777859,Molecular species identification with rich floristic sampling: DNA
Dryopteris_tsutsuiana,NA,NA,NA,NA,NA,NA,1205,AB575176,NA,NA,NA,NA,NA,NA,1205,unjoined,tns743780,Molecular species identification with rich floristic sampling: DNA
Dryopteris_tyrrhena,0,NA,0,NA,0,NA,666,KY073660,0,NA,441,KY073679,283,KY073716,1390,voucher,madridcomplutense42776,NA
Dryopteris_unidentata,NA,NA,NA,NA,NA,NA,1311,AY268825,NA,NA,NA,NA,NA,NA,1311,unjoined,NA,Molecular phylogenetics and historical biogeography of Hawaiian
Dryopteris_uniformis,1506,EF463679,1278,EF463395,0,NA,1308,EF463183,0,NA,0,NA,0,NA,4092,voucher,schuettpelz537,NA
Dryopteris_varia,0,NA,0,NA,0,NA,1320,AY736329,0,NA,0,NA,879,AY736355,2199,voucher,ljm180,NA
Dryopteris_villarii,0,NA,0,NA,0,NA,1273,KY073661,0,NA,455,KY073680,299,KY073717,2027,voucher,flasebs146,NA
Dryopteris_wallichiana,0,NA,0,NA,0,NA,1308,KJ464428,0,NA,416,KJ464669,229,KJ464599,1953,voucher,labiak4434,NA
Dryopteris_wattsii,1506,KP164481,1154,KP164488,0,NA,1141,KP164495,0,NA,0,NA,0,NA,3801,voucher,sankowsky4171,NA
Dryopteris_wulingshanensis,NA,NA,NA,NA,NA,NA,1204,MZ444607,NA,NA,NA,NA,NA,NA,1204,unjoined,NA,"Dryopteriswulingshanensis (Dryopteridaceae), a new species from"
Dryopteris_wuzhaohongii,0,NA,0,NA,1326,KU500255,0,NA,0,NA,0,NA,845,KU500178,2171,voucher,lu28385,NA
Dryopteris_xanthomelas,0,NA,0,NA,0,NA,1273,AY587118,0,NA,436,DQ151857,315,DQ150394,2024,voucher,sgluc60,NA
Dryopteris_zayuensis,0,NA,0,NA,0,NA,1294,DQ508777,0,NA,0,NA,922,DQ514500,2216,voucher,ljm064,NA
Elaphoglossum_achroalepis,0,NA,264,EF040636,0,NA,0,NA,0,NA,420,AY540225,371,AY536288,1055,voucher,rakotondrainibe6485,NA
Elaphoglossum_acrostichoides,NA,NA,NA,NA,NA,NA,1273,AY818680,NA,NA,NA,NA,NA,NA,1273,unjoined,NA,Molecular studies of representative species in the fern genus
Elaphoglossum_aemulum,0,NA,0,NA,0,NA,1309,MT657681,0,NA,474,AY540227,382,AY536290,2165,monophy,NA,NA
Elaphoglossum_affine,0,NA,0,NA,0,NA,794,AY534861,0,NA,394,AY536169,350,AY534841,1538,publication,NA,molecular studies of representative species in the fern genus
Elaphoglossum_albomarginatum,0,NA,242,MG600320,0,NA,0,NA,0,NA,448,MG600350,345,MG600378,1035,voucher,breedlove31629,NA
Elaphoglossum_alpestre,0,NA,208,MG600302,0,NA,0,NA,0,NA,424,MG600331,645,MG600360,1277,voucher,matos2543,NA
Elaphoglossum_alvaradoanum,0,NA,268,EF040651,0,NA,0,NA,0,NA,399,EF040625,365,EF040611,1032,voucher,trusty120,NA
Elaphoglossum_amygdalifolium,1506,EF463680,1203,EF463396,0,NA,1308,EF463184,0,NA,0,NA,0,NA,4017,voucher,moran6952,NA
Elaphoglossum_andicola,1506,EF463681,1260,EF463397,0,NA,1277,EF463185,0,NA,0,NA,0,NA,4043,voucher,bach1697,NA
Elaphoglossum_andreanum,0,NA,231,KJ528046,0,NA,0,NA,0,NA,453,KJ528132,387,KJ528168,1071,voucher,lehnert1463,NA
Elaphoglossum_angulatum,NA,NA,NA,NA,NA,NA,1263,KF992484,NA,NA,NA,NA,NA,NA,1263,unjoined,shennequinr172,Evolutionary patterns in the assembly of fern diversity on the
Elaphoglossum_anthracinum,0,NA,0,NA,0,NA,0,NA,0,NA,459,KJ528116,376,KJ528172,835,voucher,luteyn11002,NA
Elaphoglossum_apodum,NA,NA,NA,NA,NA,NA,1228,AY818681,NA,NA,NA,NA,NA,NA,1228,unjoined,NA,Molecular studies of representative species in the fern genus
Elaphoglossum_asterolepis,0,NA,265,EF040642,0,NA,0,NA,0,NA,427,AY540231,374,AY536294,1066,voucher,kessler12751,NA
Elaphoglossum_aubertii,1506,EF463682,1245,EF463398,0,NA,1308,EF463186,0,NA,0,NA,0,NA,4059,voucher,hemp8,NA
Elaphoglossum_auricomum,0,NA,0,NA,0,NA,1273,AY818682,0,NA,395,AY536145,385,AY534817,2053,publication,NA,molecular studies of representative species in the fern genus
Elaphoglossum_auripilum,NA,NA,NA,NA,NA,NA,1276,AY534849,NA,NA,NA,NA,NA,NA,1276,unjoined,NA,Molecular studies of representative species in the fern genus
Elaphoglossum_austromarquesense,NA,NA,NA,NA,NA,NA,1309,MT216028,NA,NA,NA,NA,NA,NA,1309,unjoined,usschuettpelz1924,The Evolution of Overrepresentation: exploring the biogeography of
Elaphoglossum_avaratraense,0,NA,0,NA,0,NA,0,NA,0,NA,420,AY540233,368,AY536296,788,voucher,rakotondrainibe1456,NA
Elaphoglossum_backhouseanum,1506,EF463683,1260,EF463399,0,NA,1280,EF463187,0,NA,0,NA,0,NA,4046,voucher,moransn,NA
Elaphoglossum_beaurepairei,0,NA,208,MG600304,0,NA,0,NA,0,NA,409,MG600333,360,MG600361,977,voucher,matos2198,NA
Elaphoglossum_bellermannianum,0,NA,218,KJ528040,0,NA,0,NA,0,NA,420,KJ528161,341,KJ528173,979,voucher,vasco484,NA
Elaphoglossum_bifurcatum,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,884,AY194070,884,unjoined,NA,NA
Elaphoglossum_biolleyi,0,NA,0,NA,0,NA,0,NA,0,NA,481,AY540235,343,AY536298,824,voucher,boyle6397,NA
Elaphoglossum_blepharis,0,NA,0,NA,0,NA,0,NA,0,NA,459,KJ528145,376,KJ528175,835,voucher,harling22455,NA
Elaphoglossum_boryanum,0,NA,0,NA,0,NA,704,AY534846,0,NA,189,AY536133,364,AY534804,1257,publication,NA,molecular studies of representative species in the fern genus
Elaphoglossum_brenesii,NA,NA,NA,NA,NA,NA,1309,MW138163,NA,NA,NA,NA,NA,NA,1309,unjoined,jhnitta859,A taxonomic and molecular survey of the pteridophytes of the
Elaphoglossum_brevipetiolatum,0,NA,0,NA,0,NA,0,NA,0,NA,459,MG600334,468,MG600362,927,voucher,royer72,NA
Elaphoglossum_bryogenes,0,NA,0,NA,0,NA,0,NA,0,NA,459,KJ528135,372,KJ528176,831,voucher,luteyn14682,NA
Elaphoglossum_burchellii,NA,NA,NA,NA,NA,NA,1273,AY818683,NA,NA,NA,NA,NA,NA,1273,unjoined,NA,Molecular studies of representative species in the fern genus
Elaphoglossum_callifolium,NA,NA,NA,NA,NA,NA,1337,AB232400,NA,NA,NA,NA,NA,NA,1337,unjoined,tsutsumiin44,Evolution of Epiphytes in Davalliaceae and Related Ferns
Elaphoglossum_cardenasii,0,NA,0,NA,0,NA,1273,AY818684,0,NA,390,AY536131,353,AY534802,2016,publication,NA,molecular studies of representative species in the fern genus
Elaphoglossum_cardiophyllum,0,NA,0,NA,0,NA,1273,AY818685,0,NA,394,AY536171,362,AY534842,2029,publication,NA,molecular studies of representative species in the fern genus
Elaphoglossum_caricifolium,0,NA,0,NA,0,NA,1273,AY818708,0,NA,382,AY536143,358,AY534814,2013,publication,NA,molecular studies of representative species in the fern genus
Elaphoglossum_carolinense,NA,NA,NA,NA,NA,NA,1268,MT657690,NA,NA,NA,NA,NA,NA,1268,unjoined,dhlorence10146,Biogeography of Pacific pteridophytes in a global context
Elaphoglossum_christianeae,NA,NA,NA,NA,NA,NA,1264,KJ628703,NA,NA,NA,NA,NA,NA,1264,unjoined,NA,Phylogenetic relatedness within neotropical fern communities
Elaphoglossum_ciliatum,NA,NA,NA,NA,NA,NA,1309,MW138220,NA,NA,NA,NA,NA,NA,1309,unjoined,jhnitta783,A taxonomic and molecular survey of the pteridophytes of the
Elaphoglossum_cismense,0,NA,207,MG600319,0,NA,0,NA,0,NA,421,MG600349,329,MG600377,957,voucher,matos2144,NA
Elaphoglossum_cocosense,NA,NA,NA,NA,NA,NA,1237,KM495087,NA,NA,NA,NA,NA,NA,1237,unjoined,NA,A comparative analysis of island floras challenges taxonomy-based
Elaphoglossum_concinnum,0,NA,0,NA,0,NA,0,NA,0,NA,408,KJ528151,343,KJ528179,751,voucher,cotton1546a,NA
Elaphoglossum_conforme,0,NA,246,MZ957367,0,NA,1263,MZ957133,567,MZ957581,478,MZ957581,860,MZ957251,3414,voucher,kunwang5337,NA
Elaphoglossum_conspersum,0,NA,0,NA,0,NA,0,NA,0,NA,473,AY540238,382,AY536301,855,voucher,moran6343,NA
Elaphoglossum_coriaceum,0,NA,267,EF040653,0,NA,0,NA,0,NA,472,EF040627,382,EF040613,1121,voucher,rouhan145,NA
Elaphoglossum_costaricense,0,NA,0,NA,0,NA,1273,AY818687,0,NA,124,AY536128,358,AY534799,1755,publication,NA,molecular studies of representative species in the fern genus
Elaphoglossum_coursii,NA,NA,NA,NA,NA,NA,1263,KF992525,NA,NA,NA,NA,NA,NA,1263,unjoined,grouhan229,Evolutionary patterns in the assembly of fern diversity on the
Elaphoglossum_craspedariiforme,0,NA,0,NA,0,NA,1273,AY818688,0,NA,392,AY536158,355,AY534830,2020,publication,NA,molecular studies of representative species in the fern genus
Elaphoglossum_crassicaule,NA,NA,NA,NA,NA,NA,1282,MT657686,NA,NA,NA,NA,NA,NA,1282,unjoined,krwood15380,Biogeography of Pacific pteridophytes in a global context
Elaphoglossum_crassifolium,1506,EF463685,1244,EF463401,0,NA,1308,EF463188,0,NA,0,NA,0,NA,4058,voucher,mickel9703,NA
Elaphoglossum_crinitum,1506,EF463686,1267,EF463402,0,NA,1308,EF463189,0,NA,0,NA,0,NA,4081,voucher,trusty70,NA
Elaphoglossum_croatii,0,NA,0,NA,0,NA,0,NA,0,NA,435,AY540241,349,AY536304,784,voucher,moran6378,NA
Elaphoglossum_cubense,0,NA,235,KF212378,0,NA,0,NA,0,NA,397,KF212429,350,KF212404,982,voucher,jl155,NA
Elaphoglossum_curvans,0,NA,0,NA,0,NA,1180,AY818700,0,NA,390,AY536152,368,AY534824,1938,publication,NA,molecular studies of representative species in the fern genus
Elaphoglossum_cuspidatum,0,NA,218,EU907675,0,NA,1185,AY534856,0,NA,427,EU907750,385,EU907815,2215,monophy,NA,NA
Elaphoglossum_davidsei,0,NA,0,NA,0,NA,0,NA,0,NA,440,AY540242,375,AY536305,815,voucher,moran6366,NA
Elaphoglossum_decaryanum,0,NA,266,EF040658,0,NA,0,NA,0,NA,480,AY540243,338,AY536306,1084,voucher,rakotondrainibe6326,NA
Elaphoglossum_deckenii,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,827,AY194072,827,unjoined,NA,NA
Elaphoglossum_decoratum,0,NA,0,NA,0,NA,1263,KJ464429,0,NA,404,KJ464670,254,KJ464600,1921,voucher,nybg39177b,NA
Elaphoglossum_decursivum,0,NA,208,MG600322,0,NA,0,NA,0,NA,413,MG600352,360,MG600380,981,voucher,matos2075,NA
Elaphoglossum_delgadilloanum,NA,NA,NA,NA,NA,NA,1181,KM583470,NA,NA,NA,NA,NA,NA,1181,unjoined,arojas7017,A comparative analysis of island floras challenges taxonomy-based
Elaphoglossum_deltoideum,1506,EF463687,1245,EF463403,0,NA,1308,EF463190,0,NA,0,NA,0,NA,4059,voucher,moran6867,NA
Elaphoglossum_dendricola,0,NA,231,EU907676,0,NA,0,NA,0,NA,407,EU907751,381,EU907816,1019,voucher,moranrc6853herbariumnyqcaqcne,NA
Elaphoglossum_dimorphum,0,NA,233,EU907678,0,NA,0,NA,0,NA,420,EU907753,382,EU907817,1035,voucher,eastwooda719herbarium,NA
Elaphoglossum_discolor,NA,NA,NA,NA,NA,NA,1265,KJ628704,NA,NA,NA,NA,NA,NA,1265,unjoined,NA,Phylogenetic relatedness within neotropical fern communities
Elaphoglossum_doanense,NA,NA,NA,NA,NA,NA,1309,MW138165,NA,NA,NA,NA,NA,NA,1309,unjoined,jhnitta857,A taxonomic and molecular survey of the pteridophytes of the
Elaphoglossum_dussii,0,NA,237,EU907681,0,NA,0,NA,0,NA,417,EU907755,369,EU907819,1023,voucher,sanchezc138herbariumny,NA
Elaphoglossum_edwallii,0,NA,0,NA,0,NA,1273,AY818689,0,NA,382,AY536144,353,AY534816,2008,publication,NA,molecular studies of representative species in the fern genus
Elaphoglossum_eggersii,0,NA,235,KF212381,0,NA,0,NA,0,NA,398,KF212431,380,KF212406,1013,voucher,jl157,NA
Elaphoglossum_engelii,0,NA,242,KJ528065,0,NA,0,NA,0,NA,415,KJ528162,381,KJ528183,1038,voucher,vasco591,NA
Elaphoglossum_erinaceum,1506,EF463688,1278,EF463404,0,NA,1308,EF463191,0,NA,0,NA,0,NA,4092,voucher,blanco2231,NA
Elaphoglossum_eximium,0,NA,211,MG600327,0,NA,1228,KM495092,0,NA,409,MG600356,358,MG600384,2206,monophy,NA,NA
Elaphoglossum_feei,0,NA,244,KJ528072,0,NA,0,NA,0,NA,468,KJ528120,368,KJ528184,1080,voucher,christenhusz4171,NA
Elaphoglossum_forsythii-majoris,0,NA,265,EF040644,0,NA,0,NA,0,NA,420,EF040620,391,EF040606,1076,monophy,NA,NA
Elaphoglossum_fournierianum,0,NA,0,NA,0,NA,0,NA,0,NA,204,AY540248,372,AY536311,576,voucher,moran6336,NA
Elaphoglossum_furfuraceum,0,NA,0,NA,0,NA,0,NA,0,NA,430,AY540249,380,AY536312,810,voucher,moran6367,NA
Elaphoglossum_gayanum,0,NA,240,MG600318,0,NA,0,NA,0,NA,459,MG600348,360,MG600376,1059,voucher,matos2024,NA
Elaphoglossum_glabellum,NA,NA,NA,NA,NA,NA,1273,AY818691,NA,NA,NA,NA,NA,NA,1273,unjoined,NA,Molecular studies of representative species in the fern genus
Elaphoglossum_glaucum,0,NA,0,NA,0,NA,1273,AY818692,0,NA,394,AY536172,357,AY534844,2024,publication,NA,molecular studies of representative species in the fern genus
Elaphoglossum_gomezianum,NA,NA,NA,NA,NA,NA,1206,KM495100,NA,NA,NA,NA,NA,NA,1206,unjoined,arojas6467,A comparative analysis of island floras challenges taxonomy-based
Elaphoglossum_gramineum,0,NA,243,EU907682,0,NA,0,NA,0,NA,417,EU907756,360,EU907820,1020,voucher,anderson3223herbariumus,NA
Elaphoglossum_grayumii,0,NA,0,NA,0,NA,0,NA,0,NA,475,AY540250,339,AY536313,814,voucher,moran6329,NA
Elaphoglossum_guatemalense,0,NA,0,NA,0,NA,1273,AY818693,0,NA,390,AY536164,322,AY534836,1985,publication,NA,molecular studies of representative species in the fern genus
Elaphoglossum_guentheri,0,NA,233,KJ528048,0,NA,0,NA,0,NA,460,KJ528159,367,KJ528189,1060,monophy,NA,NA
Elaphoglossum_heterochroum,NA,NA,NA,NA,NA,NA,1309,MW138228,NA,NA,NA,NA,NA,NA,1309,unjoined,jhnitta773,A taxonomic and molecular survey of the pteridophytes of the
Elaphoglossum_heterolepis,1506,EF463691,1254,EF463407,0,NA,1308,EF463194,0,NA,0,NA,0,NA,4068,voucher,ranker1414,NA
Elaphoglossum_hirtum,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,869,AY194071,869,unjoined,NA,NA
Elaphoglossum_hoffmannii,0,NA,235,KF212382,0,NA,0,NA,0,NA,397,KF212433,361,KF212408,993,voucher,jl74,NA
Elaphoglossum_hornei,0,NA,0,NA,0,NA,0,NA,0,NA,480,AY540253,331,AY536316,811,voucher,rouhan156,NA
Elaphoglossum_huacsaro,1506,EF463692,1278,EF463408,0,NA,1308,EF463195,0,NA,0,NA,0,NA,4092,voucher,nee52309,NA
Elaphoglossum_humbertii,0,NA,231,EU907696,0,NA,0,NA,0,NA,416,EU907771,377,EU907834,1024,voucher,rouhang466herbariump,NA
Elaphoglossum_hybridum,1506,EF463693,1245,EF463409,0,NA,1308,EF463196,0,NA,0,NA,0,NA,4059,voucher,motley2912,NA
Elaphoglossum_ipshookense,0,NA,231,EU907698,0,NA,0,NA,0,NA,418,EU907773,350,EU907836,999,voucher,mickelj4748herbariumny,NA
Elaphoglossum_killipii,0,NA,0,NA,0,NA,0,NA,0,NA,414,AY540257,370,AY536320,784,voucher,sundue581,NA
Elaphoglossum_lalitae,0,NA,237,MG600317,0,NA,0,NA,0,NA,448,MG600347,356,MG600375,1041,voucher,matos2181,NA
Elaphoglossum_lanatum,0,NA,0,NA,0,NA,0,NA,0,NA,421,AY540258,378,AY536321,799,voucher,rouhan194,NA
Elaphoglossum_lanceiforme,NA,NA,NA,NA,NA,NA,1309,MW138225,NA,NA,NA,NA,NA,NA,1309,unjoined,jhnitta776,A taxonomic and molecular survey of the pteridophytes of the
Elaphoglossum_lancifolium,0,NA,265,EF040640,0,NA,0,NA,0,NA,414,EF040619,354,EF040605,1033,voucher,rouhan187,NA
Elaphoglossum_langsdorffii,0,NA,243,MG600307,0,NA,0,NA,0,NA,417,GU376683,369,GU376536,1029,voucher,labiak4113,NA
Elaphoglossum_lankesteri,NA,NA,NA,NA,NA,NA,1309,MW138130,NA,NA,NA,NA,NA,NA,1309,unjoined,jhnitta2373a,A taxonomic and molecular survey of the pteridophytes of the
Elaphoglossum_lastii,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,878,AY194077,878,unjoined,NA,NA
Elaphoglossum_latifolium,NA,NA,NA,NA,NA,NA,1309,MW138227,NA,NA,NA,NA,NA,NA,1309,unjoined,jhnitta774,A taxonomic and molecular survey of the pteridophytes of the
Elaphoglossum_lechlerianum,1506,EF463694,1278,EF463410,0,NA,1308,EF463197,0,NA,0,NA,0,NA,4092,voucher,bach1399,NA
Elaphoglossum_lehmannianum,0,NA,233,KJ528049,0,NA,0,NA,0,NA,413,KJ528163,375,KJ528190,1021,voucher,vasco442,NA
Elaphoglossum_lepervanchii,NA,NA,NA,NA,NA,NA,1215,KF992526,NA,NA,NA,NA,NA,NA,1215,unjoined,grouhan208,Evolutionary patterns in the assembly of fern diversity on the
Elaphoglossum_leucolepis,0,NA,265,EF040638,0,NA,0,NA,0,NA,426,AY540261,320,AY536324,1011,voucher,rakotondrainibe6339,NA
Elaphoglossum_lherminieri,1506,EF463690,1256,EF463406,0,NA,1308,EF463193,0,NA,0,NA,0,NA,4070,voucher,moransn,NA
Elaphoglossum_lindenii,NA,NA,NA,NA,NA,NA,1273,AY818696,NA,NA,NA,NA,NA,NA,1273,unjoined,NA,Molecular studies of representative species in the fern genus
Elaphoglossum_lingua,NA,NA,NA,NA,NA,NA,1273,AY818697,NA,NA,NA,NA,NA,NA,1273,unjoined,NA,Molecular studies of representative species in the fern genus
Elaphoglossum_litanum,0,NA,213,MG600309,0,NA,0,NA,0,NA,352,MG600338,380,MG600366,945,voucher,matos2104,NA
Elaphoglossum_lloense,0,NA,278,KJ528084,0,NA,0,NA,0,NA,458,KJ528144,372,KJ528198,1108,voucher,vasco445,NA
Elaphoglossum_lonchophyllum,0,NA,0,NA,0,NA,1273,AY818698,0,NA,392,AY536136,362,AY534807,2027,publication,NA,molecular studies of representative species in the fern genus
Elaphoglossum_longicrure,NA,NA,NA,NA,NA,NA,1309,MW138185,NA,NA,NA,NA,NA,NA,1309,unjoined,jhnitta824,A taxonomic and molecular survey of the pteridophytes of the
Elaphoglossum_longistipitatum,NA,NA,NA,NA,NA,NA,1228,KM583469,NA,NA,NA,NA,NA,NA,1228,unjoined,arojas6683,A comparative analysis of island floras challenges taxonomy-based
Elaphoglossum_luridum,NA,NA,NA,NA,NA,NA,1277,AY534859,NA,NA,NA,NA,NA,NA,1277,unjoined,NA,Molecular studies of representative species in the fern genus
Elaphoglossum_luzonicum,0,NA,1174,EF450514,0,NA,NA,NA,0,NA,0,NA,0,NA,1174,unjoined,NA,NA
Elaphoglossum_macropodium,NA,NA,NA,NA,NA,NA,1263,KF992527,NA,NA,NA,NA,NA,NA,1263,unjoined,grouhan209,Evolutionary patterns in the assembly of fern diversity on the
Elaphoglossum_marojejyense,0,NA,265,EF040630,0,NA,0,NA,0,NA,446,AY540266,385,AY536329,1096,voucher,rakotondrainibe6429,NA
Elaphoglossum_marquisearum,0,NA,0,NA,0,NA,1309,MT216031,0,NA,479,AY540267,339,AY536330,2127,monophy,NA,NA
Elaphoglossum_martinicense,0,NA,235,KF212387,0,NA,0,NA,0,NA,417,KF212437,359,KF212411,1011,monophy,NA,NA
Elaphoglossum_maxonii,0,NA,235,KF212388,0,NA,0,NA,0,NA,398,KF212438,320,KF212413,953,voucher,jl341,NA
Elaphoglossum_metallicum,0,NA,0,NA,0,NA,1277,AY534858,0,NA,395,AY536160,322,AY534832,1994,publication,NA,molecular studies of representative species in the fern genus
Elaphoglossum_meyeri,0,NA,0,NA,0,NA,0,NA,0,NA,427,AY540287,381,AY536350,808,voucher,motley2875,NA
Elaphoglossum_micradenium,NA,NA,NA,NA,NA,NA,1309,MT657684,NA,NA,NA,NA,NA,NA,1309,unjoined,krwood17416,Biogeography of Pacific pteridophytes in a global context
Elaphoglossum_micropogon,0,NA,268,EF040643,0,NA,0,NA,0,NA,426,AY540268,374,AY536331,1068,voucher,moran6353,NA
Elaphoglossum_miersii,0,NA,219,MG600323,0,NA,0,NA,0,NA,439,MG600353,321,MG600381,979,voucher,matos2533,NA
Elaphoglossum_minutissimum,0,NA,0,NA,0,NA,0,NA,0,NA,204,AY540293,370,AY536356,574,voucher,moran6344,NA
Elaphoglossum_minutum,NA,NA,NA,NA,NA,NA,1273,AY818699,NA,NA,NA,NA,NA,NA,1273,unjoined,NA,Molecular studies of representative species in the fern genus
Elaphoglossum_mitorrhizum,NA,NA,NA,NA,NA,NA,1309,MW138226,NA,NA,NA,NA,NA,NA,1309,unjoined,jhnitta775,A taxonomic and molecular survey of the pteridophytes of the
Elaphoglossum_moorei,1506,EF463698,1278,EF463414,0,NA,1308,EF463198,0,NA,417,KJ528154,373,KJ528209,4882,voucher,bach1584,NA
Elaphoglossum_moranii,NA,NA,NA,NA,NA,NA,1228,KM495101,NA,NA,NA,NA,NA,NA,1228,unjoined,arojas7128,A comparative analysis of island floras challenges taxonomy-based
Elaphoglossum_nervosum,0,NA,232,EU907701,0,NA,0,NA,0,NA,424,EU907775,382,EU907837,1038,voucher,eastwooda367herbarium,NA
Elaphoglossum_nidiforme,0,NA,265,EF040661,0,NA,0,NA,0,NA,457,KJ528093,390,EF040615,1112,voucher,jimenez2274,NA
Elaphoglossum_nidusoides,0,NA,265,EF040634,0,NA,0,NA,0,NA,466,EF040617,389,EF040604,1120,monophy,NA,NA
Elaphoglossum_nigrescens,NA,NA,NA,NA,NA,NA,1273,AY818710,NA,NA,NA,NA,NA,NA,1273,unjoined,NA,Molecular studies of representative species in the fern genus
Elaphoglossum_notatum,0,NA,243,KJ528069,0,NA,0,NA,0,NA,149,GU376678,309,GU376532,701,voucher,vasco739,NA
Elaphoglossum_oblanceolatum,NA,NA,NA,NA,NA,NA,1232,KM583468,NA,NA,NA,NA,NA,NA,1232,unjoined,arojas6392,A comparative analysis of island floras challenges taxonomy-based
Elaphoglossum_obovatum,NA,NA,NA,NA,NA,NA,1266,KJ628708,NA,NA,NA,NA,NA,NA,1266,unjoined,NA,Phylogenetic relatedness within neotropical fern communities
